OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
423,Oromia,West Arsi,41708,Kokosa,135831fd-c2df-409a-ac7a-d3c60cb8bcbb,679893378.6,124822.0077
424,Oromia,Bale,41114,Berbere,ccde52ca-b6d9-4e65-9a0d-9caccff683a9,1373087115,173020.5118
425,Oromia,Bale,41115,Gura Damole,f908a61a-0a3b-4f82-b021-ce66d9157da7,5356708343,360370.1108
426,Oromia,West Arsi,41709,Nenesebo (Wereka),b4666f81-9b7c-4f1c-b70c-fa77f5b4ddb4,1737752478,210982.9203
427,Oromia,Bale,41112,Mena,f702dc02-a358-4e50-a12b-3647f69e1495,4926062483,331640.433
428,Oromia,Borena,41217,Gelana,0cf1610f-7ff6-4142-a483-48fd5bd6a05c,1536156865,195974.9798
429,Oromia,Guji,41402,Bore,c8721f9b-004e-47d6-946d-c52886d9f396,1289923779,194591.0195
430,Oromia,Guji,41401,Uraga,95f7544f-2ebd-451c-863a-ae37b36033da,801141996.3,148326.3013
431,Oromia,Bale,41113,Meda Welabu,62cbff5d-adb4-4a9a-b104-514e71eb0597,8856781639,544443.9199
432,Oromia,Guji,41403,Adola,21050139-5059-4393-b6e3-9624ee00c873,1308199938,161978.6934
433,Oromia,Guji,41405,Odo Shakiso,50ae1ea5-0d7e-43a0-9343-fff54858e8e3,4322867305,339616.5587
434,Oromia,Guji,41407,Liben,faa53e20-9bd9-4e75-adf0-5f581e4c1441,7743462691,390398.1812
435,Oromia,Borena,41212,Teltele,aacad0c8-dc01-4137-8cc3-27155bc5b72e,11627071249,496938.0531
436,Oromia,Borena,41210,Moyale,d40196bf-c49c-4837-a190-74488dd5756b,3421719418,271322.1786
437,Oromia,Ilubabor,40307,Borecha,7dfe8b96-e5f5-4352-b9da-3353df8b801f,787242407.9,143635.3475
438,Oromia,Kelem Wellega,41811,Lalo Kile,2c7f047d-87ee-4736-b5a0-47f5013ed8fa,493792141.9,98038.69435
439,Oromia,West Wellega,40108,Jarso,6fa0148f-bff7-4d30-b72e-802c7ec9f085,528224891,97982.03061
440,Oromia,Kelem Wellega,41810,Jimma Horo,581f253e-32c0-4a6a-a245-eef00ef50679,664396704.2,119956.7156
441,Oromia,Kelem Wellega,41802,Yama Logi Welel,15a355b1-6470-4c25-88a8-ebddbd195960,532629821.7,103378.2292
442,Oromia,Kelem Wellega,41803,Dale Wabera,dd41583c-72c9-47d5-9e57-d210d34da7f8,707123251.6,163508.6861
443,Oromia,Kelem Wellega,41808,Dale Sadi,e1ce25d4-67c4-4c3f-80d5-3d89c75b3be1,619056281.6,121135.7367
444,Oromia,West Wellega,40110,Boji Chekorsa,28c83759-e8a7-48dd-9385-7c21042288d5,530629329.5,100461.3199
445,Oromia,West Wellega,40113,Gaji,465918e4-c7c6-4576-86e5-0515d3d275e8,283820552.8,73607.02331
446,Oromia,West Wellega,40118,Sayo Nole,4ba56e71-44c6-4daf-bbf4-0f77e526246a,537719243.5,110765.9201
447,Oromia,Ilubabor,40304,Dega,ac6de98f-3625-49da-be52-8170066dfc67,482093174.6,95567.13569
448,Oromia,Ilubabor,40315,Bilo Nopha,23c964f4-4b0f-4b82-978d-e03999e1a8bc,325506372.5,81683.35544
449,Oromia,Ilubabor,40319,Halu (Huka),de7727d2-c39d-4e9e-a7de-2ea87fcd268c,308094434.1,73397.04421
450,Oromia,Ilubabor,40311,Ale,ecc14934-7d64-49dc-9b45-551160bfcd63,366116766.2,95394.66436
